Armentières	16.6773853242	1600037
Austin	16.6508415051	1601091
Bengaluru	16.6564265192	1599000
Bergerac	16.676762629	1598889
Cerignola	16.6698310866	1603083
Dieppe	16.6741046439	1599196
Indore	16.6645684083	1599223
Jaipur	16.6665650747	1600273
Khammam	16.6591468497	1599287
La Spezia	16.6741593805	1600009
Lakshmeshwar	16.6693749773	1600937
Latur	16.668754996	1598589
Naila Janjgir	16.6650532142	1599841
Rau	16.6720054081	1600369
Rehli	16.657782751	1597406
Saint-Ouen	16.6875570106	1599675
San Jose	16.6583244234	1600608
Sandnes	16.6573401184	1600027
Sannois	16.6716037355	1599165
Suri	16.6733988725	1603344
Sète	16.6585158823	1601153
Tohana	16.6619310068	1597684
Udaipur	16.6592815838	1599630
Udhagamandalam	16.652637741	1600132
Yemmiganur	16.6602855193	1601352
